case_id,ref_path,dist_path,distortion_type,distortion_level,parameter,random_seed
image_0009_blur_k03_s0p8,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719233000_20260719234459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719233000_20260719234459_1000M_V0001/blur_k03_s0p8.png,gaussian_blur_k3_sigma_0.800000,1,kernel=3;sigma=0.8,
image_0009_blur_k07_s1p5,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719233000_20260719234459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719233000_20260719234459_1000M_V0001/blur_k07_s1p5.png,gaussian_blur_k7_sigma_1.500000,2,kernel=7;sigma=1.5,
image_0009_blur_k11_s3p0,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719233000_20260719234459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719233000_20260719234459_1000M_V0001/blur_k11_s3p0.png,gaussian_blur_k11_sigma_3.000000,3,kernel=11;sigma=3,
image_0009_jpeg_quality_80,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719233000_20260719234459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719233000_20260719234459_1000M_V0001/jpeg_quality_80.jpg,jpeg_quality_80,1,quality=80,
image_0009_jpeg_quality_50,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719233000_20260719234459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719233000_20260719234459_1000M_V0001/jpeg_quality_50.jpg,jpeg_quality_50,2,quality=50,
image_0009_jpeg_quality_20,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719233000_20260719234459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719233000_20260719234459_1000M_V0001/jpeg_quality_20.jpg,jpeg_quality_20,3,quality=20,
image_0010_noise_sigma_5,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719234500_20260719235959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719234500_20260719235959_1000M_V0001/noise_sigma_5.png,gaussian_noise_sigma_5,1,sigma=5,7557392044465005778
image_0010_noise_sigma_15,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719234500_20260719235959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719234500_20260719235959_1000M_V0001/noise_sigma_15.png,gaussian_noise_sigma_15,2,sigma=15,7557390944953377567
image_0010_noise_sigma_30,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719234500_20260719235959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719234500_20260719235959_1000M_V0001/noise_sigma_30.png,gaussian_noise_sigma_30,3,sigma=30,7557389845441749356
image_0010_blur_k03_s0p8,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719234500_20260719235959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719234500_20260719235959_1000M_V0001/blur_k03_s0p8.png,gaussian_blur_k3_sigma_0.800000,1,kernel=3;sigma=0.8,
image_0010_blur_k07_s1p5,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719234500_20260719235959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719234500_20260719235959_1000M_V0001/blur_k07_s1p5.png,gaussian_blur_k7_sigma_1.500000,2,kernel=7;sigma=1.5,
image_0010_blur_k11_s3p0,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719234500_20260719235959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719234500_20260719235959_1000M_V0001/blur_k11_s3p0.png,gaussian_blur_k11_sigma_3.000000,3,kernel=11;sigma=3,
image_0010_jpeg_quality_80,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719234500_20260719235959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719234500_20260719235959_1000M_V0001/jpeg_quality_80.jpg,jpeg_quality_80,1,quality=80,
image_0010_jpeg_quality_50,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719234500_20260719235959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719234500_20260719235959_1000M_V0001/jpeg_quality_50.jpg,jpeg_quality_50,2,quality=50,
image_0010_jpeg_quality_20,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719234500_20260719235959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719234500_20260719235959_1000M_V0001/jpeg_quality_20.jpg,jpeg_quality_20,3,quality=20,
